EAN,categorie,Rayon,Libelle_produit,prix,EAN
5026767366043,Produits Secs & Conserves,pates,500g penne rigate panzani,"1,24",5026767366043
1002603715237,Produits Secs & Conserves,pates,500g spaghetti panzani,"0,84",1002603715237
2113941413715,Produits Secs & Conserves,pates,1kg coquillettes panzani,"1,73",2113941413715
2597945667827,Produits Secs & Conserves,pates,1kg spaghetti panzani,"1,53",2597945667827
8046456922921,Produits Secs & Conserves,pates,panzani farfalle 500g,"1,22",8046456922921
4751738990501,Produits Secs & Conserves,pates,1kg farfalle panzani,"1,92",4751738990501
551910881758,Produits Secs & Conserves,pates,400g tagliatelles pates fraich,"2,07",551910881758
6865816645372,Produits Secs & Conserves,pates,400g fettucine pates fraiches,"2,07",6865816645372
3930087202824,Produits Secs & Conserves,pates,250g mini gnocchi gd mere,"1,13",3930087202824
9793429083469,Produits Secs & Conserves,pates,250g mini coquillettes gd mere,"1,17",9793429083469
6867518808435,Produits Secs & Conserves,pates,250g mini pate avions gd mere,"1,18",6867518808435
6293799746293,Produits Secs & Conserves,pates,nids 2mm grand mere 250g,"1,15",6293799746293
6412794254894,Produits Secs & Conserves,pates,nids 4mm grand mere 250g,"1,18",6412794254894
4175097894401,Produits Secs & Conserves,pates,spaghettis grand mere 250 g,"1,14",4175097894401
2480959214155,Produits Secs & Conserves,pates,250g macaronis longs gd mere,"1,15",2480959214155
6380195266991,Produits Secs & Conserves,pates,macaroni coupe gd mere 250g,"1,15",6380195266991
6686768701356,Produits Secs & Conserves,pates,250g coquilles cellos gr mere,"1,18",6686768701356
1103153417419,Produits Secs & Conserves,pates,coquillettes grand mere 250g,"1,17",1103153417419
4076136975391,Produits Secs & Conserves,pates,250g torsades cellos gr.mere,"1,14",4076136975391
8286985683087,Produits Secs & Conserves,pates,papillons grand mere 250g,"1,18",8286985683087
834348943613,Produits Secs & Conserves,pates,250g tagliatelles grand mere,"1,18",834348943613
1821733594346,Produits Secs & Conserves,pates,spirales grand mere 250g,"1,17",1821733594346
1162266497208,Produits Secs & Conserves,pates,250g pennes grand mere,"1,17",1162266497208
7500839760051,Produits Secs & Conserves,pates,500g parpadelles grand mere,"2,37",7500839760051
1779685611150,Produits Secs & Conserves,pates,250g pepinettes cellos gr mere,"2,12",1779685611150
8855635668141,Produits Secs & Conserves,pates,500g nids tricolores gd mere,"2,54",8855635668141
5216486015256,Produits Secs & Conserves,pates,500g knepfle grand mere,"2,19",5216486015256
2827647783826,Produits Secs & Conserves,pates,spaetzle grand mere 250g,"1,14",2827647783826
3550158646750,Produits Secs & Conserves,pates,400g crozets chanterelle,"3,42",3550158646750
3116144622713,Produits Secs & Conserves,pates,350g pates a poeler cornette,"1,48",3116144622713
2623713340625,Produits Secs & Conserves,pates,350g pate poeler tressine alpi,"1,55",2623713340625
7854690453861,Produits Secs & Conserves,pates,500g nouilles gourm. savoisien,"1,63",7854690453861
3450551053587,Produits Secs & Conserves,pates,400g taillerin cepe&bol cx sav,"3,22",3450551053587
972897939356,Produits Secs & Conserves,pates,400g taillerins trompet.chant.,"3,19",972897939356
7793551282485,Produits Secs & Conserves,pates,500g avoines cx savoie,"1,60",7793551282485
939915253334,Produits Secs & Conserves,pates,500g pates p. gourmandes perle,"1,59",939915253334
4538050075589,Produits Secs & Conserves,pates,400g crozet blancs cx savoiee,"3,46",4538050075589
409588073816,Produits Secs & Conserves,pates,400g crozets sarrasin alpina,"3,36",409588073816
6351067722003,Produits Secs & Conserves,pates,tagliatelles spiruline,"3,99",6351067722003
1122398414298,Produits Secs & Conserves,pates,gouttes de mer,"3,99",1122398414298
5601045507916,Produits Secs & Conserves,pates,linguine  n›7 500g de cecco,"2,02",5601045507916
835413584842,Produits Secs & Conserves,pates,500g spaghetti n›12 de cecco,"1,82",835413584842
7092175593622,Produits Secs & Conserves,pates,500g fusilli de cecco,"1,93",7092175593622
8859563024910,Produits Secs & Conserves,pates,penne rigate  n41 500g de cec,"1,81",8859563024910
7483803964064,Produits Secs & Conserves,pates,cavatappi 500g  de cecco,"2,00",7483803964064
2106556596960,Produits Secs & Conserves,pates,500g orecchiette n›91 dececco,"2,27",2106556596960
7853887470177,Produits Secs & Conserves,pates,funghini 500g  de cecco,"2,03",7853887470177
9548420302584,Produits Secs & Conserves,pates,500g conchiglioni rigati cecco,"2,44",9548420302584
9331107443802,Produits Secs & Conserves,pates,500g calamarata de cecco,"2,38",9331107443802
629303339983,Produits Secs & Conserves,pates,strangozzi 500g  de cecco,"2,38",629303339983
5348856296657,Produits Secs & Conserves,pates,250g pate chicche de cecco,"2,01",5348856296657
8794940686958,Produits Secs & Conserves,pates,500g capellini rummo,"2,05",8794940686958
3913280985908,Produits Secs & Conserves,pates,500g linguine rum.lenta lavora,"2,05",3913280985908
1673938523554,Produits Secs & Conserves,pates,500g fusilli rum.lenta lavoraz,"2,12",1673938523554
6394226267876,Produits Secs & Conserves,pates,500g penne rigate rum.lent lav,"2,02",6394226267876
713305683504,Produits Secs & Conserves,pates,500g tripoline rummo,"2,59",713305683504
4199161975286,Produits Secs & Conserves,pates,500g farfalle rummo,"2,09",4199161975286
3547153198856,Produits Secs & Conserves,pates,500g fusillotti rummo,"2,75",3547153198856
4756713991859,Produits Secs & Conserves,pates,500g spaghetti bio rummo,"3,11",4756713991859
6226770774575,Produits Secs & Conserves,pates,500g penne rigate bio rummo,"3,11",6226770774575
6847587887586,Produits Secs & Conserves,pates,400g linguine rummo s/s gluten,"2,89",6847587887586
6288294878293,Produits Secs & Conserves,pates,400g stelline rummo s/s gluten,"2,89",6288294878293
9106900862468,Produits Secs & Conserves,pates,400g fusilli rummo sans gluten,"2,89",9106900862468
6041687123463,Produits Secs & Conserves,pates,1kg spaghetti barilla,"1,57",6041687123463
618545593339,Produits Secs & Conserves,pates,1kg penne barilla,"1,65",618545593339
5248527447946,Produits Secs & Conserves,pates,500g capellini barilla,"1,07",5248527447946
4415039112052,Produits Secs & Conserves,pates,500g spaghettini n›3 barilla,"1,30",4415039112052
7259394510133,Produits Secs & Conserves,pates,500g spaghetti  n›5 barilla,"0,87",7259394510133
2816723910145,Produits Secs & Conserves,pates,500g lasagne collezione barill,"1,74",2816723910145
7555131565498,Produits Secs & Conserves,pates,500g pq. penn rigat barilla,"1,05",7555131565498
